rank,time,date,name,position,DOB,venue,nationality
262,16:01.04,30 SEP 2001,Hiromi KOGA,20,28 MAY 1982,Kanazawa (JPN),JPN
263,16:01.20,20 APR 2001,Anna AOKI,13,29 APR 1978,Walnut (USA),USA
264,16:01.30,14 JUL 2001,Lyudmila VOLCHEK,6,1980,Amsterdam (NED),BLR
265,16:01.41,04 MAY 2001,Fride VULLUM-BRUER,7,21 FEB 1976,Palo Alto (USA),NOR
266,16:01.42,30 SEP 2001,Rina FUJIOKA,21,18 OCT 1982,Kanazawa (JPN),JPN
267,16:01.72,29 APR 2001,Naoko SAKAMOTO,15,14 NOV 1980,Hiroshima (JPN),JPN
268,16:02.20,13 OCT 2001,Fumi MURATA,5,13 MAR 1975,Tashima (JPN),JPN
269,16:02.32,23 JUN 2001,Mar&#237;a ABEL,8,23 OCT 1974,Bilbao (ESP),ESP
270,16:02.40,14 OCT 2001,Rumi NAKASHIMA,27,21 SEP 1982,Kobe (JPN),JPN
271,16:02.70,26 MAY 2001,Catherine NDEREBA,2,21 JUL 1972,Nairobi (KEN),KEN
272,16:02.79,04 MAY 2001,Jodie HUGHES,8,14 APR 1980,Palo Alto (USA),USA
273,16:03.20,28 JUN 2001,Chen YI,5h1,11 JUN 1985,Chengdu (CHN),CHN
274,16:03.27,23 JUN 2001,Roc&#237;o MART&#205;NEZ,9,24 SEP 1975,Bilbao (ESP),ESP
275,16:03.39,07 JUL 2001,Amaia PIEDRA,4,02 JUN 1972,Cork City (IRL),ESP
276,16:03.57,02 JUN 2001,Kelly MACDONALD-STRONG,3,27 SEP 1978,Eugene (USA),USA
277,16:03.65,16 JUN 2001,Fatima HAJJAMI-AMMOU,2,29 JUL 1966,Villefranche-sur-Saone (FRA),FRA
278,16:03.71,04 SEP 2001,Mardrea HYMAN,7,22 DEC 1972,Brisbane (AUS),JAM
279,16:03.79,08 JUL 2001,Stine LARSEN,2,05 NOV 1975,Drammen (NOR),NOR
280,16:04.10,23 JUN 2001,Karen HIND,3,31 JAN 1979,Solihull (GBR),GBR
281,16:04.40,27 APR 2001,Molly WATCKE,1,10 APR 1971,Philadelphia (USA),USA
282,16:04.56,11 FEB 2001,Hayley MCGREGOR,1,27 MAY 1979,Melbourne (AUS),AUS
283,16:04.93,24 JUN 2001,Justyna BĄK,4,01 AUG 1974,Vaasa (FIN),POL
284,16:05.30,30 SEP 2001,Yuko MACHIDA,23,11 AUG 1980,Kanazawa (JPN),JPN
285,16:05.52,14 JUL 2001,Melanie SCHULZ,9,27 AUG 1979,Amsterdam (NED),GER
286,16:05.56,20 APR 2001,America MATEOS GUZMAN,14,20 DEC 1971,Walnut (USA),MEX
287,16:05.57,29 APR 2001,Nami KUROSAWA,16,26 DEC 1978,Hiroshima (JPN),JPN
288,16:05.60,22 JUL 2001,Anne KEENAN-BUCKLEY,3,07 JAN 1962,Santry (IRL),IRL
289,16:06.53,20 APR 2001,Lisa AGUILERA,15,30 NOV 1979,Walnut (USA),USA
290,16:06.71,20 APR 2001,Katie JAZWINSKI,16,21 DEC 1979,Walnut (USA),USA
291,16:06.90,07 MAY 2001,Shixiang LIU,1,13 JAN 1971,Shanghai (CHN),CHN
292,16:06.95,31 MAR 2001,Ann Marie BROOKS-SCHWABE,5,14 NOV 1978,Palo Alto (USA),USA
293,16:07.00,29 JUN 2001,Dorota GRUCA,2,05 DEC 1970,Bydgoszcz (POL),POL
294,16:07.08,04 JUL 2001,Adelia ELIAS,10,07 MAY 1974,Braga (POR),POR
295,16:07.18,30 SEP 2001,Mio KIUCHI,25,20 NOV 1978,Kanazawa (JPN),JPN
296,16:07.57,30 SEP 2001,Ritsuko SASAKI,26,30 NOV 1972,Kanazawa (JPN),JPN
297,16:07.94,04 MAY 2001,Rebecca BENNION,9,16 SEP 1980,Palo Alto (USA),USA
298,16:08.05,22 JUN 2001,Tomoko HORIOKA,1,27 MAR 1984,Osaka (JPN),JPN
299,16:08.08,20 APR 2001,Tracy ROBERTSON-FRACK,17,29 APR 1977,Walnut (USA),CAN
300,16:08.36,11 MAR 2001,Anna THOMPSON,2,11 DEC 1976,Hobart (AUS),AUS
301,16:08.93,13 SEP 2001,Supriyati SUTONO,1,24 JUN 1972,Kuala Lumpur (MAS),INA
302,16:09.10,13 SEP 2001,Pa PA,2,05 DEC 1979,Kuala Lumpur (MAS),MYA
303,16:09.12,04 JUN 2001,Rkia YAJJOU,14,1974,Hengelo (NED),FRA
304,16:09.31,28 JUL 2001,Mar&#237;a Roc&#237;o R&#205;OS,2,13 MAR 1969,M&#225;laga (ESP),ESP
305,16:09.36,22 JUL 2001,Natalie DAVEY,4,05 SEP 1972,Santry (IRL),IRL
306,16:09.42,31 MAR 2001,Nicole HUNT,6,30 APR 1979,Palo Alto (USA),USA
307,16:09.66,17 JUN 2001,Georgia AMBATZIDOU,3,19 APR 1969,Athina (GRE),GRE
308,16:09.94,28 JUN 2001,Lina USMANOVA,1,23 MAY 1982,Kazan (RUS),RUS
309,16:10.00,04 MAY 2001,Leigh DANIEL,10,06 AUG 1978,Palo Alto (USA),USA
310,16:10.00,13 MAY 2001,Dongmei AI,3,15 OCT 1981,Jinan (CHN),CHN
311,16:10.26,23 MAY 2001,Bev JENKINS,4,06 FEB 1970,Wythenshawe (GBR),GBR
312,16:10.61,18 MAY 2001,Kate O&#39;NEILL,1,29 JUL 1980,Princeton (USA),USA
313,16:10.80,22 JUL 2001,Fabiana Cristine DA SILVA,1,03 SEP 1978,Rio de Janeiro (BRA),BRA
314,16:10.94,12 MAY 2001,Gillian PALMER,8,13 DEC 1980,Eugene (USA),GBR
315,16:11.44,23 JUN 2001,Milka MIKHAYLOVA,4,23 MAY 1972,Budapest (HUN),BUL
316,16:11.51,07 JUL 2001,Marie DAVENPORT-MCMAHON,8,24 JAN 1975,Brunswick (USA),IRL
317,16:11.55,20 JUL 2001,Elina LINDGREN,2,27 NOV 1983,Grosseto (ITA),FIN
318,16:11.56,18 MAY 2001,Sylvia CHELIMO,2,1973,Princeton (USA),UGA
319,16:11.60,07 JUL 2001,Gloria MARCONI,2,31 MAR 1968,Catania (ITA),ITA
320,16:11.63,13 SEP 2001,Wafae FRIKECH,6,22 DEC 1979,Tunis (TUN),MAR
321,16:11.78,07 MAY 2001,Jodie SWALLOW,1,23 JUN 1981,Glasgow (GBR),GBR
322,16:11.93,29 APR 2001,Shiki TERASAKI,18,27 MAR 1972,Hiroshima (JPN),JPN
323,16:12.11,20 APR 2001,Andreina BYRD,20,21 AUG 1978,Walnut (USA),GER
324,16:12.34,18 AUG 2001,Patrycja WŁODARCZYK,1,09 JUN 1980,Gdansk (POL),POL
325,16:12.39,02 JUN 2001,Courtney MELDRUM,11,30 JAN 1977,Eugene (USA),USA
326,16:12.53,31 MAR 2001,Tara CHAPLIN,8,30 OCT 1980,Palo Alto (USA),USA
327,16:12.81,20 APR 2001,Marna KRUPPA,21,14 APR 1981,Walnut (USA),USA
328,16:13.16,20 APR 2001,Lindsay TOWNSEND,22,25 AUG 1977,Walnut (USA),USA
329,16:13.21,22 JUL 2001,Sandra HERVAS,9,03 JAN 1977,Valencia (ESP),ESP
330,16:13.29,22 JUL 2001,Maria Cristina VAQUERIO RODRIGUES,2,04 JUN 1971,Rio de Janeiro (BRA),BRA
331,16:13.30,10 MAY 2001,Monica WANGARI,2,04 OCT 1986,Nairobi (KEN),KEN
332,16:13.88,30 SEP 2001,Hiromi HIRATA,7,1980,Tokyo (JPN),JPN
333,16:13.89,07 MAY 2001,Dejing TONG,4,04 SEP 1980,Shanghai (CHN),CHN
334,16:13.97,02 JUN 2001,Marzena MICHALSKA,1,20 OCT 1975,Bielsko-Biala (POL),POL
335,16:13.98,04 MAR 2001,Ren&#233; KALMER,1,03 NOV 1980,Durban (RSA),RSA
336,16:14.00,23 JUN 2001,Bente LAND&#214;Y,4,16 DEC 1972,Solihull (GBR),NOR
337,16:14.22,27 JUL 2001,Yuliya VINOKUROVA,5,17 JUN 1972,Moskva (RUS),RUS
338,16:14.31,30 SEP 2001,Yukari TAKAHASHI,8,15 FEB 1980,Tokyo (JPN),JPN
339,16:14.36,17 JUN 2001,Vincenza SICARI,2,19 MAR 1979,Brescia (ITA),ITA
340,16:14.51,08 APR 2001,Zhaoxia DONG,19,13 NOV 1974,Kumamoto (JPN),CHN
341,16:14.61,26 MAY 2001,Kozue SAITO,22,25 SEP 1982,Nobeoka (JPN),JPN
342,16:14.64,13 SEP 2001,Soulef BOUGUERRA,7,01 FEB 1977,Tunis (TUN),TUN
343,16:14.69,13 MAY 2001,Siri Merete ALFHEIM,3,06 JUL 1976,Palo Alto (USA),NOR
344,16:14.91,28 JUN 2001,Tatyana PETROVA,2,08 APR 1983,Kazan (RUS),RUS
345,16:15.20,20 APR 2001,Larissa KLEINMANN,23,10 SEP 1978,Walnut (USA),GER
346,16:15.40,10 MAY 2001,Jane Gakunyi WANJIKU,3,14 JUN 1979,Nairobi (KEN),KEN
347,16:15.60,22 JUN 2001,Agnes NGUNJIRI,7,29 NOV 1975,Nairobi (KEN),KEN
348,16:15.86,20 APR 2001,Ann MCGRANAHAN,24,08 JAN 1979,Walnut (USA),USA
349,16:15.94,07 MAY 2001,Sheila FAIRWEATHER,2,24 NOV 1977,Glasgow (GBR),GBR
350,16:16.06,20 MAY 2001,Mizuho NASUKAWA,7,22 NOV 1979,Rifu (JPN),JPN
351,16:16.08,14 JUL 2001,Sarah DAY,1,18 NOV 1978,St. Paul (USA),USA
352,16:16.24,15 JUL 2001,Birhan DAGNE,5,08 APR 1978,Birmingham (GBR),GBR
353,16:16.39,20 JUL 2001,Collette FAGAN,3,06 JUN 1982,Grosseto (ITA),GBR
354,16:16.64,15 MAY 2001,Emi MURAYAMA,4,15 DEC 1981,Yokohama (JPN),JPN
355,16:16.70,16 FEB 2001,Carlien CORNELISSEN,1,28 APR 1972,Port Elizabeth (RSA),RSA
356,16:17.02,15 MAY 2001,Sumiko SAKAMOTO,5,22 NOV 1980,Yokohama (JPN),JPN
357,16:17.04,30 SEP 2001,Tomoko TAKAHASHI,28,06 DEC 1980,Kanazawa (JPN),JPN
358,16:17.13,08 APR 2001,Kiyomi OGAWA,21,15 SEP 1981,Kumamoto (JPN),JPN
359,16:17.20,08 APR 2001,Rina OISHI,22,06 APR 1978,Kumamoto (JPN),JPN
360,16:17.31,18 AUG 2001,Monika STEFANOWICZ,2,15 MAY 1980,Gdansk (POL),POL
361,16:17.65,17 MAY 2001,Tetyana HOLOVCHENKO,5,13 FEB 1980,Kiev (UKR),UKR
362,16:18.32,17 JUN 2001,Penny THACKRAY,1,18 AUG 1974,Liverpool (GBR),GBR
363,16:18.62,15 JUL 2001,Deborah SULLIVAN,6,24 JAN 1972,Birmingham (GBR),GBR
364,16:18.77,31 MAR 2001,Lindsey THOMPSON,11,25 AUG 1977,Palo Alto (USA),USA
364,16:18.77,22 JUL 2001,Fatima SILVA,5,06 MAY 1970,Lisboa (POR),POR
366,16:19.00,22 JUN 2001,Hellen KIMAIYO-KIPKOSKEI,8,08 SEP 1968,Nairobi (KEN),KEN
367,16:19.21,15 MAY 2001,Tomomi KINUTA,7,04 NOV 1981,Yokohama (JPN),JPN
368,16:19.29,05 MAR 2001,Kristin IHLE-HELLEDY,1,12 APR 1969,Madison (USA),USA
369,16:19.53,15 MAY 2001,Tomoko MOTOHIRA,8,13 FEB 1981,Yokohama (JPN),JPN
370,16:19.85,22 APR 2001,Lu JING,9,24 DEC 1976,Zhongshan (CHN),CHN
371,16:19.93,27 JUL 2001,Yelena KALEDINA,,28 OCT 1966,Moskva (RUS),RUS
372,16:20.00,09 JUN 2001,Kristin HARPER,8,,Palo Alto (USA),USA
1,14:31.42,28 JUL 2002,Paula RADCLIFFE,1,17 DEC 1973,Manchester (GBR),GBR
2,14:33.65,23 AUG 2002,Berhane ADERE,1,23 NOV 1973,London (GBR),ETH
3,14:34.29,23 AUG 2002,Gabriela SZABO,2,14 NOV 1975,London (GBR),ROU
4,14:40.41,12 OCT 2002,Yingjie SUN,1,19 JAN 1979,Busan (KOR),CHN
5,14:43.53,06 SEP 2002,Werknesh KIDANE,2,07 JAN 1981,Berlin (GER),ETH
6,14:46.97,23 AUG 2002,Sonia O&#39;SULLIVAN,3,28 NOV 1969,London (GBR),IRL
7,14:47.60,06 SEP 2002,Benita WILLIS-JOHNSON,3,06 MAY 1979,Berlin (GER),AUS
8,14:47.85,28 JUN 2002,Tatyana TOMASHOVA,3,01 JUL 1975,Oslo (NOR),RUS
9,14:48.14,28 JUN 2002,Edith MASAI,4,04 APR 1967,Oslo (NOR),KEN
10,14:48.29,28 JUN 2002,Olga YEGOROVA,5,28 MAR 1972,Oslo (NOR),RUS
11,14:48.66,06 SEP 2002,Joanne PAVEY,4,20 SEP 1973,Berlin (GER),GBR
12,14:48.99,06 SEP 2002,Ayelech WORKU,5,12 JUN 1979,Berlin (GER),ETH
13,14:49.90,06 SEP 2002,Tirunesh DIBABA,6,01 JUN 1985,Berlin (GER),ETH
14,14:51.71,20 JUL 2002,Asmae LEGHZAOUI,1,30 AUG 1976,Heusden-Zolder (BEL),MAR
15,14:53.99,06 SEP 2002,Sentayehu EJIGU,7,28 JUN 1985,Berlin (GER),ETH
16,14:55.19,12 OCT 2002,Kayoko FUKUSHI,2,25 MAR 1982,Busan (KOR),JPN
17,15:00.05,28 JUN 2002,Susan CHEPKEMEI,7,25 JUN 1975,Oslo (NOR),KEN
18,15:00.45,06 SEP 2002,Ebru KAVAKLIOGLU,9,14 MAR 1970,Berlin (GER),TUR
19,15:00.49,02 JUN 2002,Elvan ABEYLEGESSE,1,11 SEP 1982,Hengelo (NED),TUR
20,15:00.88,12 JUL 2002,Leah MALOT,4,07 JUN 1972,Roma (ITA),KEN
21,15:01.34,12 JUL 2002,Zhor EL KAMCH,5,15 MAR 1973,Roma (ITA),MAR
22,15:01.42,12 JUL 2002,Isabella OCHICHI,6,28 OCT 1979,Roma (ITA),KEN
23,15:02.00,02 JUN 2002,Katalin SZENTGY&#214;RGYI,2,1979,Hengelo (NED),HUN
24,15:04.48,12 JUL 2002,Tegla LOROUPE,9,09 MAY 1973,Roma (ITA),KEN
25,15:04.88,06 SEP 2002,Lidia CHOJECKA,11,25 JAN 1977,Berlin (GER),POL
26,15:06.06,28 JUL 2002,Ines CHENONGE,3,01 FEB 1982,Manchester (GBR),KEN
27,15:07.19,22 JUN 2002,Marla RUNYAN,1,04 JAN 1969,Palo Alto (USA),USA
28,15:07.53,16 JUL 2002,Courtney BABCOCK,3,30 JUN 1972,Stockholm (SWE),CAN
29,15:08.28,28 JUN 2002,Jelena PROKOPČUKA,9,21 SEP 1976,Oslo (NOR),LAT
30,15:10.67,12 JUL 2002,Marta DOM&#205;NGUEZ,12,03 NOV 1975,Roma (ITA),ESP
31,15:13.44,16 JUL 2002,Jennifer RHINES,7,01 JUL 1974,Stockholm (SWE),USA
32,15:13.93,22 JUN 2002,Deena KASTOR,2,14 FEB 1973,Palo Alto (USA),USA
33,15:14.44,16 JUL 2002,Restituta JOSEPH KEMI,8,30 JUL 1971,Stockholm (SWE),TAN
34,15:14.69,18 MAY 2002,Cheri GODDARD-KENAH,3,26 DEC 1970,"Portland, OR (USA)",USA
35,15:15.22,10 AUG 2002,Yelena ZADOROZHNAYA,3,03 DEC 1977,M&#252;nchen (GER),RUS
36,15:16.32,06 SEP 2002,Sabrina MOCKENHAUPT,1,06 DEC 1980,Tivoli (ITA),GER
37,15:17.24,15 JUN 2002,Merima DENBOBA,1,21 AUG 1974,Lisboa (POR),ETH
38,15:17.59,19 APR 2002,Kathy BUTLER,2,22 OCT 1973,Walnut (USA),GBR
39,15:17.62,25 MAY 2002,Fernanda RIBEIRO,1,23 JUN 1969,Maia (POR),POR
40,15:18.01,28 JUL 2002,Dorcus INZIKURU,4,02 FEB 1982,Manchester (GBR),UGA
41,15:18.77,12 OCT 2002,Sunita RANI,3,04 DEC 1979,Busan (KOR),IND
42,15:18.81,15 JUN 2002,Marina Bastos RODRIGUES,3,07 JUL 1971,Lisboa (POR),POR
43,15:18.90,12 JUL 2002,Joan AYABEI,15,17 MAY 1979,Roma (ITA),KEN
44,15:18.92,11 MAY 2002,Yoko SHIBUI,5,14 MAR 1979,Osaka (JPN),JPN
45,15:19.12,10 AUG 2002,Mihaela Maria BOTEZAN-PRUNDUS,6,21 NOV 1976,M&#252;nchen (GER),ROU
46,15:20.17,23 AUG 2002,Salina Jebet KOSGEI,7,16 NOV 1976,London (GBR),KEN
47,15:20.58,11 MAY 2002,Miwako YAMANAKA,6,24 MAY 1978,Osaka (JPN),JPN
48,15:20.97,06 JUL 2002,Megumi TANAKA-OSHIMA,1,04 SEP 1975,Brunswick (USA),JPN
49,15:21.05,15 JUN 2002,Ines MONTEIRO,4,18 MAY 1980,Lisboa (POR),POR
50,15:21.37,22 JUN 2002,Carrie TOLLEFSON,3,18 JAN 1977,Palo Alto (USA),USA
51,15:21.68,21 JUL 2002,Jane Gakunyi WANJIKU,1,14 JUN 1979,Sapporo (JPN),KEN
52,15:22.33,06 JUL 2002,Kazue OGOSHI,2,02 MAR 1981,Brunswick (USA),JPN
53,15:22.46,22 JUN 2002,Amy RUDOLPH,4,18 SEP 1973,Palo Alto (USA),USA
54,15:23.09,06 JUL 2002,Adriana FERN&#193;NDEZ MIRANDA,3,04 APR 1971,Brunswick (USA),MEX
55,15:23.91,23 AUG 2002,Lyudmila BIKTASHEVA,8,25 JUL 1974,London (GBR),RUS
56,15:25.00,14 JUL 2002,Liliya SHOBUKHOVA,1,13 NOV 1977,Cheboksary (RUS),RUS
57,15:25.16,09 JUN 2002,Yoshiko ICHIKAWA,2,18 APR 1976,Kanazawa (JPN),JPN
58,15:25.73,20 JUL 2002,Gunhild HALLE-HAUGEN,5,01 JUN 1972,Heusden-Zolder (BEL),NOR
59,15:26.45,16 SEP 2002,Meseret DEFAR,1,19 NOV 1983,Yokohama (JPN),ETH
60,15:26.65,09 JUN 2002,Haruko OKAMOTO,3,19 AUG 1974,Kanazawa (JPN),JPN
61,15:26.73,16 SEP 2002,Derartu TULU,2,21 MAR 1972,Yokohama (JPN),ETH
62,15:28.05,23 AUG 2002,Collette LISS-DOUGLAS,10,29 APR 1973,London (GBR),USA
63,15:28.41,09 JUN 2002,Akiko KAWASHIMA,4,05 AUG 1977,Kanazawa (JPN),JPN
64,15:29.81,06 SEP 2002,Naomi MUGO,3,02 JAN 1977,Tivoli (ITA),KEN
65,15:29.83,19 APR 2002,Marie DAVENPORT-MCMAHON,3,24 JAN 1975,Walnut (USA),IRL
66,15:30.15,19 APR 2002,Katie MCGREGOR,4,02 SEP 1977,Walnut (USA),USA
67,15:30.34,19 APR 2002,Nicole JEFFERSON-AISH,5,08 MAR 1976,Walnut (USA),USA
68,15:31.23,23 AUG 2002,Catherine BERRY,11,08 OCT 1975,London (GBR),GBR
69,15:31.32,06 JUL 2002,Merima HASHIM,4,1981,Brunswick (USA),ETH
70,15:31.67,23 MAY 2002,Melanie SCHULZ,1,27 AUG 1979,Koblenz (GER),GER
71,15:31.74,02 JUN 2002,Jane Jepkosgei KIPTOO,6,08 AUG 1982,Hengelo (NED),KEN
72,15:31.80,29 SEP 2002,Ayumi HASHIMOTO,2,17 JUN 1983,Fukuchiyama (JPN),JPN
73,15:32.01,14 JUL 2002,Anastasiya ZUBOVA,2,06 AUG 1979,Cheboksary (RUS),RUS
74,15:32.17,07 MAR 2002,Hayley MCGREGOR,1,27 MAY 1979,Melbourne (AUS),AUS
75,15:32.45,09 JUN 2002,Kayo FUSHIMI,6,11 NOV 1975,Kanazawa (JPN),JPN
75,15:32.45,23 AUG 2002,Beatriz SANTIAGO S&#193;NCHEZ,12,28 OCT 1968,London (GBR),ESP
77,15:32.58,08 JUN 2002,Ana DIAS,2,15 JAN 1974,Lisboa (POR),POR
78,15:32.90,23 JUN 2002,Helena JAVORNIK,3,26 MAR 1966,Sevilla (ESP),SLO
79,15:33.03,16 SEP 2002,Lucy Kabuu WANGUI,6,24 MAR 1984,Yokohama (JPN),KEN
80,15:33.42,10 AUG 2002,Sonja STOLIĆ,9,21 APR 1980,M&#252;nchen (GER),SRB
81,15:33.44,19 APR 2002,Nora Leticia ROCHA,6,18 DEC 1967,Walnut (USA),MEX
82,15:34.25,20 JUL 2002,Una ENGLISH,6,14 AUG 1970,Heusden-Zolder (BEL),IRL
83,15:34.29,20 JUL 2002,Gloria MARCONI,1,31 MAR 1968,Viareggio (ITA),ITA
84,15:34.55,29 SEP 2002,Yasuko HASHIMOTO,5,12 AUG 1975,Fukuchiyama (JPN),JPN
85,15:34.85,06 JUL 2002,Yoko MANABE,5,08 FEB 1979,Brunswick (USA),JPN
86,15:34.94,30 JUL 2002,Min LIU,1,29 NOV 1983,Dalian (CHN),CHN
86,15:34.94,16 SEP 2002,Takako KOTORIDA,7,02 APR 1977,Yokohama (JPN),JPN
88,15:35.05,29 JUL 2002,Luminiţa MOANGA-TALPOŞ,1,09 OCT 1972,Bucuresti (ROU),ROU
89,15:35.40,12 OCT 2002,Mizuki NOGUCHI,1,03 JUL 1978,Takamatsu (JPN),JPN
90,15:35.59,19 APR 2002,Lauren FLESHMAN,7,26 SEP 1981,Walnut (USA),USA
91,15:35.60,22 SEP 2002,Tomoko HADORI,1,28 MAY 1981,Tokyo (JPN),JPN
92,15:35.61,06 JUL 2002,Teyba ERKESSO,6,30 OCT 1982,Brunswick (USA),ETH
93,15:35.67,22 JUN 2002,Kristin PRICE,6,25 NOV 1981,Palo Alto (USA),USA
94,15:35.72,12 JUL 2002,Maura VICECONTE,20,03 OCT 1967,Roma (ITA),ITA
95,15:36.29,14 JUL 2002,Yelena BURYKINA,3,07 MAY 1972,Cheboksary (RUS),RUS
96,15:36.64,16 SEP 2002,Mika OKUNAGA,8,27 OCT 1982,Yokohama (JPN),JPN
97,15:36.79,12 JUL 2002,Rose CHERUIYOT,21,21 JUL 1976,Roma (ITA),KEN
98,15:36.97,29 SEP 2002,Yuko MANABE,6,08 FEB 1979,Fukuchiyama (JPN),JPN
99,15:36.99,09 JUN 2002,Ikuko TAMURA,7,24 SEP 1978,Kanazawa (JPN),JPN
100,15:37.40,15 DEC 2002,Risa HAGIWARA,1,22 NOV 1982,Yokohama (JPN),JPN
101,15:37.48,13 OCT 2002,Akemi OZAKI,1,12 OCT 1977,Kobe (JPN),JPN
102,15:37.50,25 MAY 2002,Yuko KAWAKAMI,3,01 AUG 1975,Nobeoka (JPN),JPN
103,15:37.53,03 MAY 2002,Bente LAND&#214;Y,1,16 DEC 1972,Palo Alto (USA),NOR
104,15:37.67,02 JUN 2002,Marleen RENDERS,7,24 DEC 1968,Hengelo (NED),BEL
105,15:37.80,22 SEP 2002,Naomi SAKASHITA,2,25 MAY 1975,Tokyo (JPN),JPN
106,15:38.25,15 JUN 2002,Natalie Anne HARVEY,2,19 JAN 1975,Manchester (GBR),GBR
107,15:38.30,15 JUN 2002,Hayley YELLING-HIGHAM,3,03 JAN 1974,Manchester (GBR),GBR
108,15:38.37,06 JUL 2002,M&#243;nica ROSA,1,05 MAY 1978,Maia (POR),POR
109,15:38.60,03 MAY 2002,Amy YODER BEGLEY,2,11 JAN 1978,Palo Alto (USA),USA
110,15:38.68,02 JUN 2002,Maria MCCAMBRIDGE,8,10 JUL 1975,Hengelo (NED),IRL
111,15:38.84,19 APR 2002,Rachel SAUDER-KINSMAN,8,16 MAR 1974,Walnut (USA),USA
112,15:38.97,25 MAY 2002,Margarita TAPIA,2,16 NOV 1976,Victoria (CAN),MEX
113,15:39.14,14 JUL 2002,Galina BOGOMOLOVA,4,15 OCT 1977,Cheboksary (RUS),RUS
114,15:39.40,15 DEC 2002,Michiyo ANDO,2,12 DEC 1972,Yokohama (JPN),JPN
115,15:39.51,13 OCT 2002,Mari OZAKI,2,16 JUL 1975,Kobe (JPN),JPN
116,15:39.58,20 JUL 2002,Silvia WEISSTEINER,2,13 JUL 1979,Viareggio (ITA),ITA
117,15:39.62,19 APR 2002,Kimberly FITCHEN-YOUNG,9,03 SEP 1968,Walnut (USA),USA
118,15:39.63,16 SEP 2002,Yoshimi OZAKI,12,01 JUL 1981,Yokohama (JPN),JPN
119,15:39.88,13 OCT 2002,Yuki SAITO,3,25 SEP 1980,Kobe (JPN),JPN
120,15:39.90,13 OCT 2002,Hongxia WANG,4,13 JAN 1975,Kobe (JPN),CHN
121,15:40.19,29 SEP 2002,Miwa KIRIHARA,8,03 AUG 1982,Fukuchiyama (JPN),JPN
122,15:40.24,23 JUN 2002,Olivera JEVTIĆ,1,24 JUL 1977,Beograd (SRB),SRB
123,15:40.63,16 JUN 2002,Fatima MAAMA-YVELAIN,1,31 DEC 1969,Villeneuve (FRA),FRA
124,15:40.99,25 MAY 2002,Lucy SMITH,3,04 JUN 1967,Victoria (CAN),CAN
125,15:41.13,22 JUN 2002,Priscah Jepleting CHERONO,3,27 JUN 1980,Nairobi (KEN),KEN
126,15:41.20,27 NOV 2002,Yukiko AKABA,2,18 OCT 1979,Hachioji (JPN),JPN
127,15:41.46,15 JUN 2002,Jacqueline MART&#205;N,6,14 APR 1974,Lisboa (POR),ESP
128,15:41.53,13 OCT 2002,Noriko TAKAHASHI,5,25 JUL 1979,Kobe (JPN),JPN
129,15:42.07,06 JUL 2002,&#201;milie MONDOR,8,29 APR 1981,Brunswick (USA),CAN
130,15:42.17,13 OCT 2002,Yuri KANO,6,27 OCT 1978,Kobe (JPN),JPN
131,15:42.43,25 AUG 2002,Dulce Mar&#237;a RODR&#205;GUEZ,2,14 AUG 1972,Xalapa (MEX),MEX
132,15:42.49,16 JUL 2002,Susie POWER,14,26 MAR 1975,Stockholm (SWE),AUS
132,15:42.49,13 OCT 2002,Maya NISHIO,7,19 DEC 1978,Kobe (JPN),JPN
134,15:42.68,26 MAY 2002,Oksana BELYAKOVA,1,09 SEP 1975,Lisboa (POR),RUS
135,15:42.88,12 AUG 2002,Bong-Sil HAM,1,24 JUL 1974,Colombo (SRI),PRK
136,15:42.99,27 OCT 2002,Huina XING,1,25 FEB 1984,Tiantai (CHN),CHN
137,15:43.05,29 SEP 2002,Ruth WANJIRU,9,11 SEP 1981,Fukuchiyama (JPN),KEN
138,15:43.24,21 JUL 2002,Yumiko HARA,5,09 JAN 1982,Sapporo (JPN),JPN
139,15:43.38,21 JUL 2002,Asuka KATO,6,07 MAR 1980,Sapporo (JPN),JPN
140,15:43.84,21 JUL 2002,Esther Wanjiru MAINA,7,27 MAR 1977,Sapporo (JPN),KEN
140,15:43.84,13 OCT 2002,Makiko KAWASHIMA,8,05 AUG 1977,Kobe (JPN),JPN
142,15:43.89,20 JUL 2002,Maria PROTOPAPPA,9,05 MAY 1973,Heusden-Zolder (BEL),GRE
142,15:43.89,21 JUL 2002,Rina FUJIOKA,8,18 OCT 1982,Sapporo (JPN),JPN
144,15:43.92,28 JUL 2002,Anna THOMPSON,9,11 DEC 1976,Manchester (GBR),AUS
145,15:44.11,16 SEP 2002,Reiko TOSA,14,11 JUN 1976,Yokohama (JPN),JPN
146,15:44.44,22 JUN 2002,Hawa HUSSEIN,7,05 DEC 1982,Nairobi (KEN),TAN
147,15:44.48,27 OCT 2002,Guomei CUI,2,02 JUL 1979,Tiantai (CHN),CHN
148,15:44.53,29 SEP 2002,Maiko YAMAGUCHI,11,19 MAY 1982,Fukuchiyama (JPN),JPN
149,15:45.08,15 JUN 2002,Liz YELLING,4,05 DEC 1974,Manchester (GBR),GBR
150,15:45.40,14 DEC 2002,Emi IKEDA,1,29 AUG 1983,Kyoto (JPN),JPN
151,15:45.45,29 MAY 2002,Amaia PIEDRA,2,02 JUN 1972,Bilbao (ESP),ESP
